上级事件ID,目标ID,毁伤等级ID,事件ID,事件名称,事件类型,部件ID,事件描述,毁伤模式编号,备注,位置X,位置Y,k,n
,MB4002,DJ00501,SJ000,K1级毁伤,与,,,,,,,,
SJ000,MB4002,DJ00501,SJ100,动力系统,或,,,,,,,,
SJ100,MB4002,DJ00501,SJ001,中部蜂窝油箱,,BJ0005,,5,,,,,
SJ100,MB4002,DJ00501,SJ002,后部蜂窝油箱,,BJ0006,,5,,,,,
SJ100,MB4002,DJ00501,SJ003,右备用油箱,,BJ0007,,5,,,,,
SJ100,MB4002,DJ00501,SJ004,左备用油箱,,BJ0008,,5,,,,,
SJ100,MB4002,DJ00501,SJ005,外部油箱1,,BJ0009,,5,,,,,
SJ100,MB4002,DJ00501,SJ006,外部油箱2,,BJ0010,,5,,,,,
SJ100,MB4002,DJ00501,SJ007,外部油箱3,,BJ0011,,5,,,,,
SJ100,MB4002,DJ00501,SJ008,外部油箱4,,BJ0012,,5,,,,,
SJ100,MB4002,DJ00501,SJ009,外部油箱5,,BJ0013,,5,,,,,
SJ100,MB4002,DJ00501,SJ010,车体右前侧油箱,,BJ0014,,5,,,,,
SJ100,MB4002,DJ00501,SJ011,车体左前侧油箱,,BJ0015,,5,,,,,
,MB4002,DJ00502,SJ000,K2级毁伤,与,,,,,,,,
SJ000,MB4002,DJ00502,SJ100,武器系统,或,,,,,,,,
SJ100,MB4002,DJ00502,SJ001,炮塔弹药架,,BJ0017,,6,,,,,
SJ100,MB4002,DJ00502,SJ002,轮转弹药架,,BJ0018,,6,,,,,
,MB4002,DJ00503,SJ000,F1级毁伤,或,,,,,,,,
SJ000,MB4002,DJ00503,SJ100,武器系统,或,,,,,,,,
SJ100,MB4002,DJ00503,SJ001,并列机枪,,BJ0027,,3,,,,,
SJ100,MB4002,DJ00503,SJ002,12.7毫米高射机枪,,BJ0028,,3,,,,,
SJ100,MB4002,DJ00503,SJ003,右烟幕发射器,,BJ0023,,3,,,,,
SJ100,MB4002,DJ00503,SJ004,左烟幕发射器,,BJ0024,,3,,,,,
SJ000,MB4002,DJ00503,SJ200,火控系统,或,,,,,,,,
SJ200,MB4002,DJ00503,SJ005,炮手观瞄,,BJ0034,,3,,,,,
SJ200,MB4002,DJ00503,SJ006,车长观瞄,,BJ0035,,3,,,,,
SJ000,MB4002,DJ00503,SJ300,乘员系统,或,,,,,,,,
SJ300,MB4002,DJ00503,SJ007,炮手,,BJ0029,,4,,,,,
SJ300,MB4002,DJ00503,SJ008,车长,,BJ0030,,4,,,,,
SJ300,MB4002,DJ00503,SJ009,驾驶员,,BJ0031,,4,,,,,
,MB4002,DJ00504,SJ000,F2级毁伤,或,,,,,,,,
SJ000,MB4002,DJ00504,SJ100,武器系统,与,,,,,,,,
SJ100,MB4002,DJ00504,SJ001,自动抛壳机,,BJ0019,,3,,,,,
SJ100,MB4002,DJ00504,SJ002,自动装弹机,,BJ0020,,3,,,,,
SJ100,MB4002,DJ00504,SJ003,125毫米滑膛炮,,BJ0021,,3,,,,,
SJ000,MB4002,DJ00504,SJ200,火控系统,与,,,3,,,,,
SJ200,MB4002,DJ00504,SJ004,炮手观瞄,,BJ0034,,,,,,,
SJ200,MB4002,DJ00504,SJ005,车长观瞄,,BJ0035,,3,,,,,
SJ000,MB4002,DJ00504,SJ300,乘员系统,与,,,3,,,,,
SJ300,MB4002,DJ00504,SJ006,炮手,,BJ0029,,,,,,,
SJ300,MB4002,DJ00504,SJ007,车长,,BJ0030,,4,,,,,
SJ300,MB4002,DJ00504,SJ008,驾驶员,,BJ0031,,4,,,,,
,MB4002,DJ00505,SJ000,M1级毁伤,与,,,4,,,,,
SJ000,MB4002,DJ00506,SJ100,行走系统,或,,,,,,,,
SJ100,MB4002,DJ00506,SJ001,右负重轮1,,BJ0053,,3,,,,,
SJ100,MB4002,DJ00506,SJ002,右负重轮2,,BJ0054,,3,,,,,
SJ100,MB4002,DJ00506,SJ003,左负重轮1,,BJ0059,,3,,,,,
SJ100,MB4002,DJ00506,SJ004,左负重轮2,,BJ0060,,3,,,,,
SJ100,MB4002,DJ00506,SJ005,右托带轮1,,BJ0043,,3,,,,,
SJ100,MB4002,DJ00506,SJ006,右托带轮2,,BJ0044,,3,,,,,
SJ100,MB4002,DJ00506,SJ007,右托带轮3,,BJ0045,,3,,,,,
SJ100,MB4002,DJ00506,SJ008,左托带轮1,,BJ0046,,3,,,,,
SJ100,MB4002,DJ00506,SJ009,左托带轮2,,BJ0047,,3,,,,,
SJ100,MB4002,DJ00506,SJ010,左托带轮3,,BJ0048,,3,,,,,
SJ100,MB4002,DJ00506,SJ011,右诱导论,,BJ0050,,3,,,,,
SJ100,MB4002,DJ00506,SJ012,左诱导轮,,BJ0051,,3,,,,,
,MB4002,DJ00507,SJ000,M2级毁伤,或,,,3,,,,,
SJ000,MB4002,DJ00507,SJ100,行走系统,或,,,,,,,,
SJ100,MB4002,DJ00507,SJ001,右负重轮3,,BJ0055,,3,,,,,
SJ100,MB4002,DJ00507,SJ002,右负重轮4,,BJ0056,,3,,,,,
SJ100,MB4002,DJ00507,SJ003,右负重轮5,,BJ0057,,3,,,,,
SJ100,MB4002,DJ00507,SJ004,右负重轮6,,BJ0058,,3,,,,,
SJ100,MB4002,DJ00507,SJ005,左负重轮3,,BJ0061,,3,,,,,
SJ100,MB4002,DJ00507,SJ006,左负重轮4,,BJ0062,,3,,,,,
SJ100,MB4002,DJ00507,SJ007,左负重轮5,,BJ0063,,3,,,,,
SJ100,MB4002,DJ00507,SJ008,左负重轮6,,BJ0064,,3,,,,,
SJ000,MB4002,DJ00507,SJ200,动力系统,或,,,,,,,,
SJ200,MB4002,DJ00507,SJ009,传动系统,,BJ0001,,3,,,,,
SJ200,MB4002,DJ00507,SJ010,发动机-燃气轮机,,BJ0002,,3,,,,,
SJ200,MB4002,DJ00507,SJ011,中部蜂窝油箱,,BJ0005,,6,,,,,
SJ200,MB4002,DJ00507,SJ012,后部蜂窝油箱,,BJ0006,,6,,,,,
SJ200,MB4002,DJ00507,SJ013,右备用油箱,,BJ0007,,6,,,,,
SJ200,MB4002,DJ00507,SJ014,左备用油箱,,BJ0008,,6,,,,,
SJ200,MB4002,DJ00507,SJ015,外部油箱1,,BJ0009,,6,,,,,
SJ200,MB4002,DJ00507,SJ016,外部油箱2,,BJ0010,,6,,,,,
SJ200,MB4002,DJ00507,SJ017,外部油箱3,,BJ0011,,6,,,,,
SJ200,MB4002,DJ00507,SJ018,外部油箱4,,BJ0012,,6,,,,,
SJ200,MB4002,DJ00507,SJ019,外部油箱5,,BJ0013,,6,,,,,
SJ200,MB4002,DJ00507,SJ020,车体右前侧油箱,,BJ0014,,6,,,,,
SJ200,MB4002,DJ00507,SJ021,车体左前侧油箱,,BJ0015,,6,,,,,
SJ000,MB4002,DJ00507,SJ300,乘员系统,或,,,,,,,,
SJ300,MB4002,DJ00507,SJ022,驾驶员,与,BJ0031,,4,,,,,
