目标ID,部件ID,毁伤模式编号,毁伤模式名称,毁伤模式描述,备注
MB4002,BJ0001,3,变形,,
MB4002,BJ0002,1,破孔,,
MB4002,BJ0002,3,变形,,
MB4002,BJ0003,1,破孔,,
MB4002,BJ0003,2,穿透,,
MB4002,BJ0003,3,变形,,
MB4002,BJ0003,4,冲击振动,,
MB4002,BJ0005,5,引燃,,
MB4002,BJ0005,6,引爆,,
MB4002,BJ0006,5,引燃,,
MB4002,BJ0006,6,引爆,,
MB4002,BJ0007,5,引燃,,
MB4002,BJ0007,6,引爆,,
MB4002,BJ0008,5,引燃,,
MB4002,BJ0008,6,引爆,,
MB4002,BJ0009,5,引燃,,
MB4002,BJ0009,6,引爆,,
MB4002,BJ0010,5,引燃,,
MB4002,BJ0010,6,引爆,,
MB4002,BJ0011,5,引燃,,
MB4002,BJ0011,6,引爆,,
MB4002,BJ0012,5,引燃,,
MB4002,BJ0012,6,引爆,,
MB4002,BJ0013,5,引燃,,
MB4002,BJ0013,6,引爆,,
MB4002,BJ0014,5,引燃,,
MB4002,BJ0014,6,引爆,,
MB4002,BJ0015,5,引燃,,
MB4002,BJ0015,6,引爆,,
MB4002,BJ0016,1,破孔,,
MB4002,BJ0016,3,变形,,
MB4002,BJ0017,1,破孔,,
MB4002,BJ0017,5,引燃,,
MB4002,BJ0017,6,引爆,,
MB4002,BJ0018,1,破孔,,
MB4002,BJ0018,5,引燃,,
MB4002,BJ0018,6,引爆,,
MB4002,BJ0019,1,破孔,,
MB4002,BJ0019,3,变形,,
MB4002,BJ0020,1,破孔,,
MB4002,BJ0020,3,变形,,
MB4002,BJ0021,1,破孔,,
MB4002,BJ0021,3,变形,,
MB4002,BJ0023,1,破孔,,
MB4002,BJ0023,3,变形,,
MB4002,BJ0024,1,破孔,,
MB4002,BJ0024,3,变形,,
MB4002,BJ0025,1,破孔,,
MB4002,BJ0025,3,变形,,
MB4002,BJ0027,1,破孔,,
MB4002,BJ0027,3,变形,,
MB4002,BJ0028,1,破孔,,
MB4002,BJ0028,3,变形,,
MB4002,BJ0029,4,冲击振动,,
MB4002,BJ0030,4,冲击振动,,
MB4002,BJ0031,4,冲击振动,,
MB4002,BJ0032,1,破孔,,
MB4002,BJ0032,3,变形,,
MB4002,BJ0033,1,破孔,,
MB4002,BJ0033,3,变形,,
MB4002,BJ0034,1,破孔,,
MB4002,BJ0034,3,变形,,
MB4002,BJ0035,1,破孔,,
MB4002,BJ0035,3,变形,,
MB4002,BJ0037,1,破孔,,
MB4002,BJ0037,3,变形,,
MB4002,BJ0038,1,破孔,,
MB4002,BJ0038,3,变形,,
MB4002,BJ0040,1,破孔,,
MB4002,BJ0040,3,变形,,
MB4002,BJ0041,1,破孔,,
MB4002,BJ0041,3,变形,,
MB4002,BJ0043,1,破孔,,
MB4002,BJ0043,3,变形,,
MB4002,BJ0044,1,破孔,,
MB4002,BJ0044,3,变形,,
MB4002,BJ0045,1,破孔,,
MB4002,BJ0045,3,变形,,
MB4002,BJ0046,1,破孔,,
MB4002,BJ0046,3,变形,,
MB4002,BJ0047,1,破孔,,
MB4002,BJ0047,3,变形,,
MB4002,BJ0048,1,破孔,,
MB4002,BJ0048,3,变形,,
MB4002,BJ0050,1,破孔,,
MB4002,BJ0050,3,变形,,
MB4002,BJ0051,1,破孔,,
MB4002,BJ0051,3,变形,,
MB4002,BJ0053,1,破孔,,
MB4002,BJ0053,3,变形,,
MB4002,BJ0054,1,破孔,,
MB4002,BJ0054,3,变形,,
MB4002,BJ0055,1,破孔,,
MB4002,BJ0055,3,变形,,
MB4002,BJ0056,1,破孔,,
MB4002,BJ0056,3,变形,,
MB4002,BJ0057,1,破孔,,
MB4002,BJ0057,3,变形,,
MB4002,BJ0058,1,破孔,,
MB4002,BJ0058,3,变形,,
MB4002,BJ0059,1,破孔,,
MB4002,BJ0059,3,变形,,
MB4002,BJ0060,1,破孔,,
MB4002,BJ0060,3,变形,,
MB4002,BJ0061,1,破孔,,
MB4002,BJ0061,3,变形,,
MB4002,BJ0062,1,破孔,,
MB4002,BJ0062,3,变形,,
MB4002,BJ0063,1,破孔,,
MB4002,BJ0063,3,变形,,
MB4002,BJ0064,1,破孔,,
MB4002,BJ0064,3,变形,,
MB4002,BJ0065,1,破孔,,
MB4002,BJ0065,3,变形,,
MB4002,BJ0066,1,破孔,,
MB4002,BJ0066,3,变形,,
MB4002,BJ0067,1,破孔,,
MB4002,BJ0067,3,变形,,
MB4002,BJ0068,1,破孔,,
MB4002,BJ0068,3,变形,,
MB4002,BJ0069,1,破孔,,
MB4002,BJ0069,3,变形,,
MB4002,BJ0070,1,破孔,,
MB4002,BJ0070,3,变形,,
MB4002,BJ0071,1,破孔,,
MB4002,BJ0071,3,变形,,
MB4002,BJ0072,1,破孔,,
MB4002,BJ0072,3,变形,,
MB4002,BJ0074,1,破孔,,
MB4002,BJ0074,2,穿透,,
MB4002,BJ0074,3,变形,,
MB4002,BJ0074,4,冲击振动,,
MB4002,BJ0075,1,破孔,,
MB4002,BJ0075,2,穿透,,
MB4002,BJ0075,3,变形,,
MB4002,BJ0075,4,冲击振动,,
MB4002,BJ0076,1,破孔,,
MB4002,BJ0076,2,穿透,,
MB4002,BJ0076,3,变形,,
MB4002,BJ0076,4,冲击振动,,
MB4002,BJ0077,1,破孔,,
MB4002,BJ0077,2,穿透,,
MB4002,BJ0077,3,变形,,
MB4002,BJ0077,4,冲击振动,,
MB4002,BJ0078,1,破孔,,
MB4002,BJ0078,2,穿透,,
MB4002,BJ0078,3,变形,,
MB4002,BJ0078,4,冲击振动,,
MB4002,BJ0079,1,破孔,,
MB4002,BJ0079,2,穿透,,
MB4002,BJ0079,3,变形,,
MB4002,BJ0079,4,冲击振动,,
MB4002,BJ0081,1,破孔,,
MB4002,BJ0081,2,穿透,,
MB4002,BJ0081,3,变形,,
MB4002,BJ0081,4,冲击振动,,
MB4002,BJ0082,1,破孔,,
MB4002,BJ0082,2,穿透,,
MB4002,BJ0082,3,变形,,
MB4002,BJ0082,4,冲击振动,,
MB4002,BJ0083,1,破孔,,
MB4002,BJ0083,2,穿透,,
MB4002,BJ0083,3,变形,,
MB4002,BJ0083,4,冲击振动,,
MB4002,BJ0084,1,破孔,,
MB4002,BJ0084,2,穿透,,
MB4002,BJ0084,3,变形,,
MB4002,BJ0084,4,冲击振动,,
