目标ID,部件ID,毁伤模式编号,功能准则ID,功能准则名称,功能准则类型,功能准则描述,物理准则ID
MB4002,BJ0001,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0002,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0002,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0003,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0003,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0003,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0003,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0005,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0005,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0006,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0006,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0007,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0007,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0008,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0008,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0009,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0009,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0010,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0010,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0011,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0011,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0012,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0012,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0013,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0013,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0014,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0014,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0015,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0015,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0016,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0016,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0017,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0017,5,GNZZ40020005,引燃,0,,WLZZ40020006
MB4002,BJ0017,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0018,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0018,5,GNZZ40020005,引燃,1,,WLZZ40020006
MB4002,BJ0018,6,GNZZ40020006,引爆,0,,WLZZ40020007
MB4002,BJ0019,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0019,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0020,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0020,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0021,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0021,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0023,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0023,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0024,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0024,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0025,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0025,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0027,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0027,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0028,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0028,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0029,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0030,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0031,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0032,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0032,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0033,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0033,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0034,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0034,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0035,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0035,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0037,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0037,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0038,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0038,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0040,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0040,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0041,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0041,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0043,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0043,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0044,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0044,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0045,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0045,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0046,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0046,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0047,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0047,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0048,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0048,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0050,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0050,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0051,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0051,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0053,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0053,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0054,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0054,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0055,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0055,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0056,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0056,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0057,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0057,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0058,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0058,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0059,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0059,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0060,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0060,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0061,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0061,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0062,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0062,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0063,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0063,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0064,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0064,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0065,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0065,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0066,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0066,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0067,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0067,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0068,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0068,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0069,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0069,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0070,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0070,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0071,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0071,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0072,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0072,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0074,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0074,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0074,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0074,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0075,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0075,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0075,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0075,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0076,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0076,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0076,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0076,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0077,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0077,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0077,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0077,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0078,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0078,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0078,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0078,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0079,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0079,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0079,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0079,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0081,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0081,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0081,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0081,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0082,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0082,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0082,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0082,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0083,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0083,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0083,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0083,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
MB4002,BJ0084,1,GNZZ40020001,破孔,0,,WLZZ40020003
MB4002,BJ0084,2,GNZZ40020002,穿透,0,,WLZZ40020003
MB4002,BJ0084,3,GNZZ40020003,变形,0,,WLZZ40020002
MB4002,BJ0084,4,GNZZ40020004,冲击振动,0,,WLZZ40020005
